"Date","Amount","Category","Vendor","Customer"
"2026-01-28","38020","Professional Fees","Prime Consulting","Direct Consumer"
"2026-02-06","33913","Inventory","Azure Utilities","Retail Giant A"
"2026-03-17","8777","Sales Revenue","Global Office Ltd","Retail Giant A"
"2026-03-28","29849","Tax Provision","Prime Consulting","Retail Giant A"
"2026-02-12","47806","Professional Fees","Prime Consulting","Direct Consumer"
"2026-01-21","31731","Professional Fees","Global Office Ltd","SmallBiz Inc"
"2026-01-20","16793","Tax Provision","Azure Utilities","Retail Giant A"
"2026-01-15","26364","Sales Revenue","Global Office Ltd","Retail Giant A"
"2026-01-03","18580","Professional Fees","Prime Consulting","Retail Giant A"
"2026-01-10","30941","Professional Fees","Prime Consulting","SmallBiz Inc"
"2026-01-19","21183","Tax Provision","Prime Consulting","Public Sector Dept"
"2026-02-06","38795","Professional Fees","TechLogistics Corp","SmallBiz Inc"
"2026-03-17","34867","Tax Provision","Global Office Ltd","Public Sector Dept"
"2026-03-15","17382","Inventory","TechLogistics Corp","SmallBiz Inc"
"2026-02-10","22712","Rent","Global Office Ltd","Direct Consumer"
"2026-01-31","42647","Rent","Global Office Ltd","Public Sector Dept"
"2026-01-10","41861","Sales Revenue","Global Office Ltd","SmallBiz Inc"
"2026-01-18","8480","Inventory","Azure Utilities","Public Sector Dept"
"2026-01-12","45451","Inventory","Prime Consulting","Direct Consumer"
"2026-02-21","26609","Sales Revenue","Prime Consulting","Public Sector Dept"
"2026-02-07","10132","Inventory","TechLogistics Corp","SmallBiz Inc"
"2026-03-27","12567","Sales Revenue","Prime Consulting","Public Sector Dept"
"2026-03-08","44238","Professional Fees","Global Office Ltd","Direct Consumer"
"2026-03-09","12929","Professional Fees","Azure Utilities","Retail Giant A"
"2026-01-25","4424","Professional Fees","TechLogistics Corp","Retail Giant A"
"2026-01-17","11134","Inventory","TechLogistics Corp","Retail Giant A"
"2026-01-10","4954","Sales Revenue","TechLogistics Corp","Retail Giant A"
"2026-01-08","44264","Professional Fees","Azure Utilities","SmallBiz Inc"
"2026-02-19","18622","Inventory","Azure Utilities","Retail Giant A"
"2026-01-28","26471","Sales Revenue","TechLogistics Corp","Retail Giant A"
"2026-02-14","24912","Inventory","Prime Consulting","Public Sector Dept"
"2026-03-07","47558","Sales Revenue","TechLogistics Corp","Public Sector Dept"
"2026-02-06","24899","Tax Provision","Azure Utilities","SmallBiz Inc"
"2026-01-14","24227","Inventory","Azure Utilities","Retail Giant A"
"2026-03-13","8261","Tax Provision","Azure Utilities","Retail Giant A"
"2026-01-14","22419","Inventory","Azure Utilities","Retail Giant A"
"2026-03-20","15334","Inventory","Azure Utilities","Retail Giant A"
"2026-03-18","31666","Sales Revenue","Prime Consulting","Public Sector Dept"
"2026-01-31","31330","Rent","TechLogistics Corp","Retail Giant A"
"2026-01-17","24738","Professional Fees","Azure Utilities","SmallBiz Inc"
"2026-03-03","35992","Rent","Global Office Ltd","Public Sector Dept"
"2026-03-09","32287","Inventory","Prime Consulting","Retail Giant A"
"2026-02-04","7369","Tax Provision","TechLogistics Corp","Direct Consumer"
"2026-03-24","7104","Sales Revenue","Azure Utilities","Direct Consumer"
"2026-01-16","47593","Professional Fees","TechLogistics Corp","Retail Giant A"
"2026-02-22","20926","Rent","TechLogistics Corp","Public Sector Dept"
"2026-03-07","45317","Inventory","Prime Consulting","Public Sector Dept"
"2026-01-31","2700","Tax Provision","Prime Consulting","Direct Consumer"
"2026-01-10","2204","Rent","Global Office Ltd","Public Sector Dept"
"2026-01-11","49351","Inventory","Prime Consulting","SmallBiz Inc"
"2026-02-05","24449","Inventory","TechLogistics Corp","SmallBiz Inc"
"2026-03-28","32530","Professional Fees","Azure Utilities","Public Sector Dept"
"2026-02-12","44497","Inventory","TechLogistics Corp","Public Sector Dept"
"2026-03-27","47403","Inventory","TechLogistics Corp","Retail Giant A"
"2026-01-21","41775","Inventory","Prime Consulting","Public Sector Dept"
"2026-01-07","38552","Professional Fees","TechLogistics Corp","Public Sector Dept"
"2026-03-03","29379","Rent","TechLogistics Corp","Public Sector Dept"
"2026-02-14","46410","Professional Fees","Prime Consulting","Retail Giant A"
"2026-02-24","47727","Inventory","Global Office Ltd","Public Sector Dept"
"2026-02-27","46412","Inventory","Prime Consulting","Direct Consumer"
"2026-02-01","10449","Inventory","Azure Utilities","Public Sector Dept"
