Date,Amount,Category,Vendor,Customer
2026-03-11,8170.59,Tax Provision,Azure Utilities,Retail Giant A
2026-03-10,5155.52,Professional Fees,TechLogistics Corp,Direct Consumer
2026-02-05,7986.71,Rent,Azure Utilities,Public Sector Dept
2026-01-28,7592.46,Inventory,Prime Consulting,SmallBiz Inc
2026-02-15,7103.91,Tax Provision,Azure Utilities,SmallBiz Inc
2026-03-13,6074.02,Inventory,Azure Utilities,Retail Giant A
2026-03-08,8793.84,Sales Revenue,Global Office Ltd,SmallBiz Inc
2026-02-26,7674.48,Sales Revenue,Global Office Ltd,Retail Giant A
2026-02-06,6074.49,Tax Provision,TechLogistics Corp,Public Sector Dept
2026-03-07,7147.24,Inventory,Global Office Ltd,Retail Giant A
2026-03-09,6581.94,Sales Revenue,TechLogistics Corp,Public Sector Dept
2026-02-01,10414.66,Sales Revenue,Global Office Ltd,Retail Giant A
2026-01-13,7963.48,Professional Fees,Global Office Ltd,Retail Giant A
2026-03-12,7019.98,Inventory,TechLogistics Corp,Direct Consumer
2026-01-13,11581.93,Sales Revenue,Azure Utilities,SmallBiz Inc
2026-01-11,9784.91,Sales Revenue,TechLogistics Corp,Direct Consumer
2026-02-18,8467.01,Tax Provision,Global Office Ltd,Direct Consumer
2026-01-11,9544.61,Tax Provision,Prime Consulting,SmallBiz Inc
2026-03-04,9308.03,Sales Revenue,Azure Utilities,SmallBiz Inc
2026-01-05,7956.1,Sales Revenue,Prime Consulting,Direct Consumer
2026-03-26,5415.44,Professional Fees,Global Office Ltd,Retail Giant A
2026-02-24,7688.93,Tax Provision,Prime Consulting,Direct Consumer
2026-01-21,6812.66,Tax Provision,TechLogistics Corp,Direct Consumer
2026-03-10,6316.68,Tax Provision,Prime Consulting,SmallBiz Inc
2026-02-01,8441.05,Inventory,Global Office Ltd,Public Sector Dept
2026-01-07,6177.4,Rent,Global Office Ltd,SmallBiz Inc
2026-01-17,10341.38,Rent,Global Office Ltd,Public Sector Dept
2026-02-14,8137.93,Professional Fees,TechLogistics Corp,Direct Consumer
2026-01-04,8665.02,Tax Provision,Global Office Ltd,Retail Giant A
2026-02-04,9663.01,Inventory,TechLogistics Corp,Direct Consumer
2026-01-08,6777.02,Rent,Global Office Ltd,Public Sector Dept
2026-03-23,7165.19,Tax Provision,Azure Utilities,SmallBiz Inc
2026-02-28,8711.76,Tax Provision,Azure Utilities,SmallBiz Inc
2026-01-19,8325.69,Tax Provision,TechLogistics Corp,Public Sector Dept
2026-03-12,6617.92,Sales Revenue,TechLogistics Corp,Direct Consumer
2026-03-15,10357.66,Tax Provision,Azure Utilities,SmallBiz Inc
2026-03-31,8865.46,Tax Provision,Azure Utilities,SmallBiz Inc
2026-01-12,7384.69,Rent,Azure Utilities,SmallBiz Inc
2026-01-27,8941.54,Sales Revenue,TechLogistics Corp,Public Sector Dept
2026-01-26,7814.07,Tax Provision,Global Office Ltd,Public Sector Dept
2026-02-10,4853.46,Professional Fees,Global Office Ltd,Public Sector Dept
2026-03-15,-7541.37,Tax Provision,Azure Utilities,SmallBiz Inc
2026-03-14,10902.96,Inventory,Prime Consulting,Public Sector Dept
2026-01-06,10771.3,Professional Fees,TechLogistics Corp,SmallBiz Inc
2026-01-03,6018.81,Sales Revenue,Global Office Ltd,SmallBiz Inc
2026-03-12,10340.39,Inventory,Azure Utilities,Direct Consumer
2026-03-12,9414.64,Rent,Azure Utilities,Public Sector Dept
2026-03-05,9132.2,Professional Fees,Azure Utilities,Retail Giant A
2026-02-07,6547.6,Professional Fees,Prime Consulting,SmallBiz Inc
