user_id,amount,category,merchant,country,timestamp
USR_1049,2849.71,IT Services,Global_Corp,UK,2026-01-23 20:21:00
USR_1026,329.8,Consulting,Local_Supplies,India,2026-02-20 07:24:00
USR_1000,2403.93,Logistics,Vendor_Alpha,UK,2026-01-23 08:22:00
USR_1022,2708.41,IT Services,Global_Corp,Brazil,2026-02-26 10:07:00
USR_1079,192.86,Consulting,Local_Supplies,Brazil,2026-03-17 20:38:00
USR_1049,3131.07,Payroll,Local_Supplies,Singapore,2026-02-10 07:56:00
USR_1004,1443.79,IT Services,Express_Shipping,India,2026-03-28 04:10:00
USR_1031,3400.3,Logistics,Global_Corp,Singapore,2026-02-06 17:59:00
USR_1045,1792.38,Payroll,Local_Supplies,Germany,2026-01-26 17:29:00
USR_1072,733.23,Consulting,Local_Supplies,Brazil,2026-03-29 14:07:00
USR_1057,1426.32,Consulting,Local_Supplies,Singapore,2026-03-21 09:17:00
USR_1003,1840.99,Procurement,Vendor_Alpha,USA,2026-03-26 00:03:00
USR_1010,2509.06,Consulting,Global_Corp,Brazil,2026-03-25 23:21:00
USR_1085,3001.29,Consulting,Global_Corp,Germany,2026-02-04 08:50:00
USR_1068,1980.21,Procurement,Local_Supplies,USA,2026-02-24 14:57:00
USR_1065,-3183.02,Procurement,Local_Supplies,USA,2026-03-10 20:23:00
USR_1083,2765.2,Procurement,Global_Corp,India,2026-03-29 14:09:00
USR_1076,3934.35,IT Services,Local_Supplies,Brazil,2026-01-14 20:39:00
USR_1044,3841.95,Consulting,Global_Corp,India,2026-02-01 01:36:00
USR_1077,2471.62,IT Services,Express_Shipping,India,2026-03-05 16:54:00
USR_1092,336.96,IT Services,Vendor_Alpha,UK,2026-03-21 07:50:00
USR_1094,2290.11,Consulting,Local_Supplies,Brazil,2026-01-18 22:49:00
USR_1068,749.66,Procurement,Global_Corp,India,2026-03-10 20:29:00
USR_1032,3714.21,Payroll,Express_Shipping,India,2026-01-26 13:39:00
USR_1020,2761.34,IT Services,Express_Shipping,Singapore,2026-01-12 00:55:00
USR_1069,2519.74,Consulting,Local_Supplies,Singapore,2026-03-30 12:38:00
USR_1045,3106.78,IT Services,Global_Corp,UK,2026-02-22 23:12:00
USR_1036,764.54,Logistics,Vendor_Alpha,Brazil,2026-03-01 15:14:00
USR_1060,2017.73,Procurement,Express_Shipping,Brazil,2026-03-26 22:45:00
USR_1039,2213.13,Procurement,Global_Corp,Brazil,2026-03-24 10:25:00
USR_1003,3643.26,Consulting,Vendor_Alpha,Germany,2026-03-27 00:53:00
USR_1044,3020.41,IT Services,Vendor_Alpha,UK,2026-03-06 21:15:00
USR_1083,3168.52,Consulting,Vendor_Alpha,Singapore,2026-01-05 11:37:00
USR_1000,3806.14,Payroll,Express_Shipping,USA,2026-02-07 01:51:00
USR_1088,2775.02,IT Services,Express_Shipping,India,2026-02-08 18:46:00
USR_1063,3308.68,Procurement,Vendor_Alpha,UK,2026-03-22 08:36:00
USR_1036,1729.65,Consulting,Local_Supplies,Brazil,2026-03-30 10:00:00
USR_1026,2715.49,Consulting,Express_Shipping,UK,2026-02-05 09:50:00
USR_1000,3046.21,Consulting,Vendor_Alpha,Singapore,2026-01-06 07:29:00
USR_1067,2600.28,IT Services,Express_Shipping,Brazil,2026-01-06 08:11:00
USR_1001,1112.55,Consulting,Global_Corp,India,2026-03-24 04:06:00
USR_1050,3505.6,Payroll,Local_Supplies,USA,2026-02-03 00:45:00
USR_1090,2373.21,Logistics,Express_Shipping,Singapore,2026-01-29 06:50:00
USR_1034,2571.72,Consulting,Express_Shipping,USA,2026-02-16 16:28:00
USR_1056,951.38,IT Services,Express_Shipping,Brazil,2026-03-26 18:59:00
USR_1005,3712.72,Procurement,Global_Corp,Singapore,2026-01-09 12:34:00
USR_1096,2294.29,Consulting,Global_Corp,Brazil,2026-01-14 01:53:00
USR_1005,1595.27,IT Services,Vendor_Alpha,Brazil,2026-02-12 15:35:00
USR_1033,1404.9,Logistics,Global_Corp,Singapore,2026-02-22 12:26:00
USR_1093,1881.83,IT Services,Express_Shipping,Singapore,2026-02-03 16:32:00
USR_1001,154885.01,Logistics,Express_Shipping,UK,2026-01-12 14:33:00
USR_1088,3039.04,Consulting,Global_Corp,India,2026-03-29 10:23:00
USR_1009,2195.28,Payroll,Vendor_Alpha,Germany,2026-02-18 02:00:00
USR_1083,2676.53,Payroll,Vendor_Alpha,Brazil,2026-02-03 15:29:00
USR_1015,3022.82,Procurement,Express_Shipping,Brazil,2026-03-06 07:04:00
USR_1008,3964.22,Payroll,Vendor_Alpha,Germany,2026-03-26 05:39:00
USR_1028,1729.39,Consulting,Vendor_Alpha,UK,2026-01-01 17:44:00
USR_1066,1697.57,IT Services,Global_Corp,Brazil,2026-02-20 04:29:00
USR_1029,2314.9,IT Services,Local_Supplies,Singapore,2026-02-23 13:21:00
USR_1027,1772.12,IT Services,Vendor_Alpha,UK,2026-01-09 23:40:00
USR_1081,2023.97,Procurement,Express_Shipping,Germany,2026-02-17 06:18:00
USR_1095,1779.13,Consulting,Vendor_Alpha,USA,2026-01-26 05:40:00
USR_1055,1375.92,IT Services,Local_Supplies,USA,2026-02-27 15:36:00
USR_1020,2683.35,Consulting,Express_Shipping,Germany,2026-03-16 12:07:00
USR_1034,1427.62,IT Services,Global_Corp,India,2026-02-15 07:30:00
USR_1024,4341.61,Logistics,Vendor_Alpha,Germany,2026-03-29 23:18:00
USR_1015,2756.71,Payroll,Express_Shipping,Brazil,2026-01-12 11:41:00
USR_1033,696.94,Procurement,Vendor_Alpha,Brazil,2026-01-19 22:54:00
USR_1008,2301.72,Procurement,Global_Corp,USA,2026-02-13 06:09:00
USR_1092,1580.4,Consulting,Express_Shipping,Brazil,2026-01-04 20:50:00
USR_1022,1938.14,Payroll,Vendor_Alpha,India,2026-03-10 04:24:00
USR_1071,1342.11,IT Services,Vendor_Alpha,India,2026-02-12 03:09:00
USR_1020,1833.41,IT Services,Express_Shipping,Singapore,2026-03-21 10:09:00
USR_1085,1190.91,IT Services,Local_Supplies,Singapore,2026-01-05 18:30:00
USR_1071,3031.0,Procurement,Express_Shipping,Singapore,2026-01-09 02:18:00
USR_1041,2389.4,Payroll,Global_Corp,USA,2026-02-04 05:02:00
USR_1050,1659.42,Consulting,Local_Supplies,USA,2026-03-26 07:30:00
USR_1072,2914.2,Payroll,Global_Corp,USA,2026-01-18 16:26:00
USR_1014,1920.8,Consulting,Express_Shipping,Singapore,2026-03-14 11:58:00
USR_1008,1771.79,Consulting,Global_Corp,Brazil,2026-02-24 12:04:00
USR_1057,3799.64,Consulting,Express_Shipping,UK,2026-02-11 02:31:00
USR_1093,-3453.64,Logistics,Global_Corp,USA,2026-01-02 05:37:00
USR_1095,2450.01,Procurement,Express_Shipping,USA,2026-01-14 00:34:00
USR_1051,1833.61,Payroll,Global_Corp,USA,2026-02-28 16:17:00
USR_1039,2624.02,Payroll,Global_Corp,Germany,2026-02-24 22:27:00
USR_1087,1566.37,Logistics,Local_Supplies,UK,2026-01-07 16:28:00
USR_1065,2060.0,IT Services,Vendor_Alpha,Brazil,2026-01-25 21:56:00
USR_1007,2964.89,IT Services,Vendor_Alpha,Singapore,2026-02-08 00:11:00
USR_1030,2490.96,Consulting,Local_Supplies,India,2026-01-03 05:08:00
USR_1052,2767.15,IT Services,Local_Supplies,UK,2026-02-28 22:15:00
USR_1035,2270.43,Consulting,Vendor_Alpha,Brazil,2026-02-03 02:10:00
USR_1012,2131.38,Procurement,Local_Supplies,UK,2026-01-10 06:58:00
USR_1031,1898.46,Logistics,Express_Shipping,USA,2026-02-04 12:22:00
USR_1043,1320.52,IT Services,Express_Shipping,Germany,2026-02-04 07:26:00
USR_1027,983.43,Consulting,Global_Corp,Singapore,2026-01-11 10:58:00
USR_1064,2100.76,Payroll,Vendor_Alpha,Singapore,2026-03-06 07:30:00
USR_1087,1601.69,Consulting,Global_Corp,Brazil,2026-02-27 01:29:00
USR_1086,2818.64,Procurement,Local_Supplies,Brazil,2026-01-09 15:05:00
USR_1065,1920.31,Consulting,Vendor_Alpha,Singapore,2026-02-15 22:13:00
USR_1002,3294.6,Payroll,Global_Corp,UK,2026-03-27 23:11:00
USR_1044,2567.68,Consulting,Global_Corp,USA,2026-03-20 17:54:00
USR_1016,739.27,Consulting,Global_Corp,Singapore,2026-03-21 04:10:00
USR_1097,1339.64,Logistics,Vendor_Alpha,Germany,2026-02-04 04:32:00
USR_1078,2500.4,Procurement,Local_Supplies,Brazil,2026-02-01 13:01:00
USR_1096,3397.96,Consulting,Express_Shipping,Singapore,2026-03-20 02:40:00
USR_1094,2836.12,Consulting,Vendor_Alpha,Germany,2026-03-05 12:22:00
USR_1010,766.06,Payroll,Express_Shipping,Germany,2026-03-01 18:12:00
USR_1019,2283.18,Payroll,Vendor_Alpha,Brazil,2026-02-21 06:40:00
USR_1025,3208.13,IT Services,Global_Corp,Germany,2026-02-07 09:03:00
USR_1068,1950.04,Procurement,Vendor_Alpha,UK,2026-02-15 08:41:00
USR_1021,1820.24,Procurement,Express_Shipping,India,2026-02-02 00:16:00
USR_1039,2926.36,Consulting,Local_Supplies,Germany,2026-01-27 00:38:00
USR_1040,3326.29,Logistics,Vendor_Alpha,Brazil,2026-03-16 04:57:00
USR_1090,3844.56,Consulting,Express_Shipping,USA,2026-03-04 12:48:00
USR_1049,2774.09,Payroll,Express_Shipping,Brazil,2026-03-06 09:52:00
USR_1079,1470.68,Payroll,Vendor_Alpha,USA,2026-03-18 20:27:00
USR_1096,2200.41,Payroll,Express_Shipping,Germany,2026-02-10 17:37:00
USR_1090,3500.52,Consulting,Local_Supplies,UK,2026-03-21 05:38:00
USR_1073,3928.21,IT Services,Global_Corp,Germany,2026-01-02 02:17:00
USR_1082,1660.35,Payroll,Vendor_Alpha,USA,2026-01-29 13:19:00
USR_1015,2170.59,Consulting,Global_Corp,Singapore,2026-03-07 05:13:00
USR_1079,2844.28,IT Services,Vendor_Alpha,India,2026-03-02 19:44:00
USR_1094,2794.39,Logistics,Express_Shipping,Germany,2026-01-08 20:55:00
USR_1011,2507.98,Procurement,Local_Supplies,Brazil,2026-02-05 20:13:00
USR_1095,1887.26,IT Services,Vendor_Alpha,UK,2026-02-14 11:47:00
USR_1083,2479.24,Consulting,Global_Corp,Germany,2026-01-12 14:29:00
USR_1096,3191.24,Procurement,Global_Corp,Singapore,2026-01-29 08:28:00
USR_1034,2032.74,IT Services,Express_Shipping,USA,2026-01-10 16:38:00
USR_1052,2825.1,Procurement,Local_Supplies,Singapore,2026-02-22 16:49:00
USR_1099,3804.1,Logistics,Vendor_Alpha,India,2026-03-07 13:24:00
USR_1077,2605.12,Consulting,Local_Supplies,UK,2026-03-10 03:39:00
USR_1028,2575.31,Logistics,Vendor_Alpha,USA,2026-01-07 14:56:00
USR_1094,1457.64,Procurement,Global_Corp,Germany,2026-02-09 00:32:00
USR_1071,1850.35,Consulting,Express_Shipping,India,2026-01-03 07:11:00
USR_1094,2212.27,Logistics,Express_Shipping,Singapore,2026-01-31 06:52:00
USR_1071,3344.45,Procurement,Global_Corp,Germany,2026-01-22 20:53:00
USR_1080,3601.82,Procurement,Vendor_Alpha,USA,2026-02-25 06:41:00
USR_1093,1459.46,Payroll,Local_Supplies,USA,2026-03-21 02:06:00
USR_1063,3286.55,Procurement,Vendor_Alpha,India,2026-02-18 15:20:00
USR_1027,2585.81,Procurement,Local_Supplies,UK,2026-03-03 18:23:00
USR_1028,2793.21,Consulting,Vendor_Alpha,India,2026-03-12 05:42:00
USR_1015,2159.28,Payroll,Express_Shipping,USA,2026-03-25 13:32:00
USR_1018,1862.29,Consulting,Vendor_Alpha,Brazil,2026-01-18 20:58:00
USR_1094,2971.91,Payroll,Local_Supplies,Brazil,2026-02-06 08:01:00
USR_1077,3508.43,Procurement,Express_Shipping,Germany,2026-03-14 23:01:00
USR_1067,3079.49,Consulting,Global_Corp,USA,2026-01-08 08:54:00
USR_1061,2466.91,Procurement,Global_Corp,Brazil,2026-01-26 07:28:00
USR_1090,3386.4,Consulting,Global_Corp,USA,2026-01-08 01:41:00
USR_1098,2653.97,Payroll,Local_Supplies,Brazil,2026-03-12 11:42:00
USR_1029,888.6,Payroll,Express_Shipping,USA,2026-01-28 12:55:00
USR_1056,1150.53,Procurement,Global_Corp,USA,2026-03-30 02:03:00
USR_1000,2142.81,IT Services,Global_Corp,Germany,2026-02-24 15:37:00
USR_1047,1837.32,Procurement,Global_Corp,Brazil,2026-01-22 09:25:00
USR_1033,2336.56,Payroll,Express_Shipping,USA,2026-01-12 17:08:00
USR_1066,2818.45,Procurement,Global_Corp,UK,2026-01-30 09:12:00
USR_1083,3915.45,Procurement,Express_Shipping,UK,2026-02-03 22:12:00
USR_1070,2600.13,Consulting,Express_Shipping,UK,2026-01-26 07:43:00
USR_1070,3738.34,Procurement,Express_Shipping,Brazil,2026-03-24 12:01:00
USR_1021,2253.38,IT Services,Vendor_Alpha,Germany,2026-02-12 12:39:00
USR_1072,1665.28,Procurement,Global_Corp,Germany,2026-03-25 10:37:00
USR_1097,2696.06,IT Services,Global_Corp,Germany,2026-02-12 06:00:00
USR_1043,1134.67,Procurement,Global_Corp,UK,2026-02-10 20:14:00
USR_1050,3927.03,Consulting,Vendor_Alpha,India,2026-03-25 15:07:00
USR_1008,1873.57,Payroll,Vendor_Alpha,Brazil,2026-01-01 20:26:00
USR_1008,2459.73,Consulting,Global_Corp,USA,2026-03-07 13:28:00
USR_1009,1860.12,IT Services,Vendor_Alpha,Singapore,2026-02-24 05:25:00
USR_1057,3210.09,Consulting,Vendor_Alpha,UK,2026-03-19 04:58:00
USR_1027,1440.07,Logistics,Local_Supplies,Brazil,2026-03-27 13:43:00
USR_1049,1707.51,Consulting,Local_Supplies,India,2026-01-20 08:56:00
USR_1039,2132.06,Payroll,Global_Corp,Brazil,2026-03-02 21:51:00
USR_1066,1579.79,Logistics,Vendor_Alpha,Brazil,2026-02-16 05:39:00
USR_1041,2674.97,Logistics,Express_Shipping,UK,2026-03-22 06:23:00
USR_1089,2633.98,Consulting,Local_Supplies,India,2026-03-04 13:36:00
USR_1066,3151.82,Payroll,Express_Shipping,Singapore,2026-02-14 10:57:00
USR_1020,1476.13,Payroll,Vendor_Alpha,India,2026-02-03 06:14:00
USR_1058,2626.82,IT Services,Vendor_Alpha,Singapore,2026-03-14 01:47:00
USR_1055,1937.45,IT Services,Local_Supplies,Singapore,2026-03-20 19:53:00
USR_1046,3532.02,Consulting,Local_Supplies,India,2026-03-22 08:24:00
USR_1034,718.3,Logistics,Express_Shipping,Germany,2026-03-31 13:00:00
USR_1060,2509.04,IT Services,Local_Supplies,USA,2026-03-21 04:23:00
USR_1033,2818.75,Consulting,Local_Supplies,USA,2026-03-15 07:58:00
USR_1049,1816.01,IT Services,Vendor_Alpha,Germany,2026-02-17 01:28:00
USR_1019,1092.91,Logistics,Local_Supplies,Singapore,2026-01-17 08:05:00
USR_1066,3001.75,Payroll,Express_Shipping,UK,2026-03-26 15:23:00
USR_1050,1131.97,Consulting,Express_Shipping,UK,2026-01-02 04:17:00
USR_1077,3463.94,Procurement,Local_Supplies,Brazil,2026-03-24 15:24:00
USR_1028,3056.38,Procurement,Express_Shipping,India,2026-03-02 23:31:00
USR_1037,3463.15,IT Services,Local_Supplies,UK,2026-01-29 13:08:00
USR_1024,2581.22,IT Services,Global_Corp,Singapore,2026-03-05 12:35:00
USR_1069,1488.64,Consulting,Vendor_Alpha,UK,2026-02-21 15:18:00
USR_1090,3338.58,Payroll,Vendor_Alpha,Brazil,2026-01-16 09:29:00
USR_1025,1946.36,IT Services,Vendor_Alpha,UK,2026-01-26 07:13:00
